Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
3/1/2010,CxRpnRyZfM0,Thera/Santorini,2,,YouTube,1.1
11/1/2010,CxRpnRyZfM0,Legacy of Ancient Civilizations S1E6 - Thera/Santorini,2,,YouTube,1.1
9/1/2010,CZFiaeuVSxc,Let's Shop S1E106 - Istanbul Turkey,2,,YouTube,1.1
11/1/2010,D_kkEryf6_8,The Seasoned Traveler S1E102 - RV - Right for You?,1,,YouTube,1.1
3/1/2010,D4vhkIV7meM,Barcelona Spain,2,,YouTube,1.1
3/1/2010,d5HpWXkgncw,TOSCANA Italy,1,,YouTube,1.1
4/1/2010,d5HpWXkgncw,TOSCANA Italy,1,,YouTube,1.1
2/1/2010,d68jqKIY6V0,Malama Ka Aina,1,,YouTube,1.1
3/1/2010,d68jqKIY6V0,Malama Ka Aina,1,,YouTube,1.1
6/1/2010,d68jqKIY6V0,Malama Ka Aina,1,,YouTube,1.1
2/1/2010,dbRSgvI_-jg,"Destination Amsterdam with stops in Belgium, Germany and Czech Republic",1,,YouTube,1.1
10/1/2010,dbRSgvI_-jg,"Adventures in Europe S1E101 - Destination Amsterdam with stops in Belgium, Germany and Czech Republic",1,,YouTube,1.1
11/1/2010,dbRSgvI_-jg,"Adventures in Europe S1E101 - Destination Amsterdam with stops in Belgium, Germany and Czech Republic",2,,YouTube,1.1
9/1/2010,DCmXmZCqDl0,The West Somerset Railway From The Footplate,1,,YouTube,1.1
9/1/2010,DD9tFP3nJRk,The Little Travelers S1E102 - Japan,1,,YouTube,1.1
10/1/2010,DD9tFP3nJRk,The Little Travelers S1E102 - Japan,1,,YouTube,1.1
8/1/2010,dF24TmmigrM,Equitrekking S4E401 - Southern Spain,2,,YouTube,1.1
10/1/2010,dF24TmmigrM,Equitrekking S4E401 - Southern Spain,1,,YouTube,1.1
5/1/2010,DgkEilIoFAw,Let's Shop S1E110 - Tokyo Japan,2,,YouTube,1.1
6/1/2010,DgkEilIoFAw,Let's Shop S1E110 - Tokyo Japan,1,,YouTube,1.1
2/1/2010,dik7l-VXwBo,YELLOWSTONE NATIONAL PARK USA,1,,YouTube,1.1
